Name,Team Name,Age,age_group,Position,Injury,injury_month_name,injury_year,avg_before,avg_after,performance_drop,performance_change,recovery_days,injury_count,injury_month_num
Jamaal Lascelles,Newcastle,26,Prime,Center Back,Knee Injury,November,2019,6.43,6.67,-0.23,Improved,65.0,1,11.0
Fabian Schär,Newcastle,28,Prime,Center Back,Hamstring Strain,January,2020,6.07,6.5,-0.43,Improved,15.0,1,1.0
Ciaran Clark,Newcastle,30,Senior,Center Back,Calf Injury,December,2019,6.27,6.57,-0.3,Improved,32.0,1,12.0
Jetro Willems,Newcastle,26,Prime,Left Back,Knee Injury,September,2019,6.5,6.8,-0.3,Improved,13.0,1,9.0
Jetro Willems,Newcastle,26,Prime,Left Back,Knee Injury,December,2019,6.0,6.2,-0.2,Improved,10.0,1,12.0
DeAndre Yedlin,Newcastle,26,Prime,Right Back,Groin Problems,April,2019,,6.27,,No Change,153.0,1,4.0
DeAndre Yedlin,Newcastle,26,Prime,Right Back,Hip Injury,November,2019,6.17,5.8,0.37,Dropped,13.0,1,11.0
Emil Krafth,Newcastle,25,Prime,Right Back,Ankle Injury,January,2020,6.15,6.25,-0.1,Improved,151.0,1,1.0
Javier Manquillo,Newcastle,26,Prime,Right Back,Hamstring Strain,January,2020,5.65,6.43,-0.78,Improved,57.0,1,1.0
Sean Longstaff,Newcastle,22,Young,Central Midfielder,Ankle Injury,September,2019,6.53,6.47,0.07,Dropped,27.0,1,9.0
Jonjo Shelvey,Newcastle,28,Prime,Central Midfielder,Hamstring Injury,September,2019,6.25,7.65,-1.4,Improved,13.0,1,9.0
Jonjo Shelvey,Newcastle,28,Prime,Central Midfielder,Calf Injury,December,2019,7.5,6.2,1.3,Dropped,11.0,1,12.0
Jonjo Shelvey,Newcastle,28,Prime,Central Midfielder,Hamstring Strain,January,2020,6.45,6.77,-0.32,Improved,41.0,1,1.0
Matt Ritchie,Newcastle,30,Senior,Right Midfielder,Ankle Injury,August,2019,6.63,6.6,0.03,Dropped,128.0,1,8.0
Allan Saint-Maximin,Newcastle,23,Prime,Left Winger,Hamstring Strain,September,2019,6.5,6.1,0.4,Dropped,6.0,1,9.0
Miguel Almirón,Newcastle,26,Prime,Right Winger,Hamstring Injury,December,2019,6.37,6.73,-0.37,Improved,11.0,1,12.0
Dwight Gayle,Newcastle,30,Senior,Center Forward,Hamstring Strain,January,2020,5.93,5.67,0.27,Dropped,8.0,1,1.0
Andy Carroll,Newcastle,31,Senior,Center Forward,Groin Injury,October,2019,5.8,6.3,-0.5,Improved,12.0,1,10.0
Andy Carroll,Newcastle,31,Senior,Center Forward,Bruised Ribs,November,2019,6.3,6.43,-0.13,Improved,7.0,1,11.0
Andy Carroll,Newcastle,31,Senior,Center Forward,Knock,January,2020,,6.4,,No Change,152.0,1,1.0
Andy Carroll,Newcastle,31,Senior,Center Forward,Muscle Injury,July,2020,6.4,5.4,1.0,Dropped,11.0,1,7.0
Jamaal Lascelles,Newcastle,27,Prime,Center Back,Hip Injury,September,2020,6.17,6.03,0.13,Dropped,18.0,1,9.0
Jamaal Lascelles,Newcastle,27,Prime,Center Back,Muscle Fatigue,November,2020,6.27,5.77,0.5,Dropped,56.0,1,11.0
Jamaal Lascelles,Newcastle,27,Prime,Center Back,Hamstring Strain,January,2021,5.97,6.67,-0.7,Improved,14.0,1,1.0
Fabian Schär,Newcastle,29,Prime,Center Back,Virus,November,2020,5.95,6.8,-0.85,Improved,26.0,1,11.0
Ciaran Clark,Newcastle,31,Senior,Center Back,Calf Injury,January,2021,6.13,6.35,-0.22,Improved,10.0,1,1.0
Ciaran Clark,Newcastle,31,Senior,Center Back,Knock,February,2021,6.35,6.13,0.22,Dropped,10.0,1,2.0
Javier Manquillo,Newcastle,27,Prime,Right Back,Ankle Injury,February,2021,6.27,6.2,0.07,Dropped,31.0,1,2.0
Isaac Hayden,Newcastle,26,Prime,Defensive Midfielder,Coronavirus,November,2020,6.3,6.67,-0.37,Improved,16.0,1,11.0
Jonjo Shelvey,Newcastle,29,Prime,Central Midfielder,Groin Injury,October,2020,6.57,6.6,-0.03,Improved,32.0,1,10.0
Jonjo Shelvey,Newcastle,29,Prime,Central Midfielder,Hamstring Injury,January,2021,5.8,6.33,-0.53,Improved,13.0,1,1.0
